Student ID,Sem1 GPA,Sem2 GPA,Sem3 GPA,Sem4 GPA,Sem5 GPA,Sem6 GPA,Sem7 GPA,Sem8 GPA
STUD0101,7.75,7.98,8.23,8.33,8.42,8.69,9.06,8.97
STUD0102,5.96,6.18,6.3,6.55,6.88,6.75,7.19,7.42
STUD0103,6.25,6.69,6.53,6.83,7.04,7.46,7.42,7.69
STUD0104,7.11,7.36,7.48,7.66,7.88,8.18,8.1,8.73
STUD0105,6.97,7.32,7.72,7.69,7.83,8.41,8.12,8.22
STUD0106,6.01,6.27,6.51,6.75,6.73,6.81,7.18,7.5
STUD0107,6.87,7.21,7.52,7.78,7.92,8.22,8.19,8.81
STUD0108,7.74,7.87,8.13,8.27,8.62,8.84,9.02,9.25
STUD0109,7.1,7.39,7.48,7.92,7.82,8.41,8.35,8.35
STUD0110,5.42,5.96,5.99,6.45,6.48,6.73,6.92,7.06
STUD0111,6.46,7.03,7.25,7.41,7.41,7.76,7.99,8.03
STUD0112,7.12,7.53,7.34,7.69,7.86,8.1,8.3,8.44
STUD0113,6.1,6.14,6.17,6.56,6.9,7.04,7.13,7.23
STUD0114,7.33,7.59,7.61,8.08,8.15,8.49,8.53,8.97
STUD0115,7.37,7.35,7.44,7.68,7.92,8.24,8.47,8.52
STUD0116,7.59,7.35,7.44,7.9,7.83,8.3,8.36,8.68
STUD0117,5.54,5.54,6.07,6.32,6.36,6.88,6.68,6.86
STUD0118,7.73,8.48,8.38,8.88,8.58,8.95,9.37,9.5
STUD0119,6.25,6.45,6.36,6.73,6.96,7.14,7.23,7.43
STUD0120,7.98,8.1,8.11,8.56,8.76,9.16,8.88,9.46
STUD0121,6.93,7.03,7.22,7.8,7.77,8.11,8.26,8.55
STUD0122,5.78,6.34,6.48,6.92,7.04,6.95,7.25,7.67
STUD0123,5.87,6.44,6.4,6.63,6.93,7.03,7.17,7.39
STUD0124,6.18,6.29,6.58,6.66,7.0,7.31,7.37,7.68
STUD0125,6.01,6.14,6.45,6.08,7.04,6.92,7.32,7.21
STUD0126,6.05,6.12,6.59,6.62,6.94,6.94,7.29,7.81
STUD0127,7.07,7.42,7.64,7.87,8.0,7.94,8.58,8.37
STUD0128,5.92,5.94,6.25,6.62,6.71,6.89,6.8,7.13
STUD0129,7.26,7.49,7.55,8.02,8.0,8.26,8.43,8.67
STUD0130,6.12,6.28,6.61,7.19,6.94,7.34,7.4,7.72
STUD0131,5.93,6.05,6.01,6.66,6.69,6.71,6.59,7.53
STUD0132,5.39,5.55,6.21,5.93,6.77,6.74,6.95,7.15
STUD0133,7.41,7.55,7.74,7.93,8.04,8.32,8.33,8.78
STUD0134,6.36,6.33,6.35,6.91,7.3,7.4,7.41,7.47
STUD0135,5.89,5.87,6.25,6.25,6.57,6.92,6.85,7.37
STUD0136,8.12,8.11,8.25,8.56,8.84,9.0,9.37,9.46
STUD0137,7.61,7.83,7.93,8.62,8.38,8.68,8.89,9.34
STUD0138,7.83,7.65,8.02,8.08,8.75,8.44,8.92,8.95
STUD0139,7.63,7.85,8.09,8.28,8.66,9.06,8.86,8.95
STUD0140,7.03,7.2,7.48,7.51,7.63,7.77,8.42,8.65
STUD0141,8.06,8.44,8.35,8.59,8.75,8.9,9.17,9.29
STUD0142,5.56,5.89,6.01,6.42,6.69,6.76,7.03,7.49
STUD0143,6.49,6.34,6.99,7.02,7.06,7.37,7.68,7.82
STUD0144,5.79,6.25,6.23,6.59,7.03,6.96,7.42,7.26
STUD0145,7.32,7.66,8.1,8.15,8.69,8.62,8.8,8.94
STUD0146,5.89,6.12,6.09,6.33,6.57,6.85,7.12,7.43
STUD0147,6.1,6.16,6.75,7.28,7.12,7.46,7.56,7.75
STUD0148,6.54,6.76,6.8,7.06,7.13,7.47,7.58,8.15
STUD0149,8.1,8.22,8.36,8.7,9.0,9.09,9.23,9.24
STUD0150,6.44,6.56,7.0,7.15,7.08,7.47,7.35,8.04
STUD0151,5.58,6.07,6.42,6.59,6.59,7.06,7.07,7.21
STUD0152,7.87,8.11,8.33,8.5,8.86,8.94,9.25,9.35
STUD0153,8.06,8.38,8.56,8.41,8.47,9.2,9.07,9.46
STUD0154,6.6,6.59,6.98,7.18,7.27,7.46,7.65,7.92
STUD0155,6.07,6.42,6.36,6.82,7.0,7.31,7.45,7.5
STUD0156,6.46,6.84,7.24,7.15,7.15,7.64,7.79,7.79
STUD0157,7.36,7.83,7.8,8.38,8.42,8.46,9.07,8.87
STUD0158,7.19,7.48,7.48,7.82,7.83,8.23,8.45,8.91
STUD0159,7.15,7.44,7.43,7.7,8.24,8.17,8.33,8.78
STUD0160,5.98,6.04,6.25,6.71,6.88,7.2,7.03,7.36
STUD0161,6.0,6.1,6.3,6.77,6.56,7.01,7.1,7.34
STUD0162,7.07,7.26,7.26,7.65,7.9,8.0,8.15,8.26
STUD0163,6.89,6.63,6.98,7.18,7.48,7.77,7.99,7.99
STUD0164,7.78,7.75,8.26,8.28,8.64,8.84,8.78,9.23
STUD0165,6.92,6.98,7.21,7.59,7.91,7.94,8.19,8.62
STUD0166,6.69,7.2,7.68,7.71,7.88,8.18,8.17,8.55
STUD0167,6.62,6.74,7.0,7.39,7.76,7.78,7.76,8.22
STUD0168,6.43,6.82,6.6,6.87,7.18,7.34,7.55,7.57
STUD0169,7.34,7.66,7.52,7.68,7.93,8.57,8.51,9.19
STUD0170,7.12,7.22,7.81,8.03,8.21,8.32,8.3,8.73
STUD0171,7.44,7.78,7.97,8.14,8.52,8.78,8.86,9.28
STUD0172,6.54,6.68,6.9,7.22,7.53,7.47,7.91,8.19
STUD0173,6.74,6.85,6.95,7.05,7.35,7.79,8.12,8.28
STUD0174,5.75,6.0,6.31,6.72,6.53,7.06,7.4,7.43
STUD0175,7.68,7.74,7.86,7.82,8.46,8.94,9.14,9.04
STUD0176,7.47,7.46,7.9,7.97,8.32,8.5,8.55,8.78
STUD0177,6.08,6.39,6.68,6.64,7.2,7.15,7.4,7.51
STUD0178,5.6,5.63,5.75,6.07,6.48,6.67,6.98,7.1
STUD0179,5.4,5.77,6.18,6.09,6.53,6.5,6.99,7.13
STUD0180,6.9,7.19,7.39,7.58,7.97,8.03,8.46,8.92
STUD0181,5.85,6.11,6.24,6.37,6.52,6.87,6.91,6.85
STUD0182,5.85,6.43,6.61,6.4,6.66,7.0,7.41,7.42
STUD0183,6.55,6.74,7.0,7.15,7.52,7.96,7.98,8.11
STUD0184,7.64,7.99,8.18,8.34,8.55,8.66,9.0,9.33
STUD0185,6.79,6.85,7.11,7.56,7.62,7.6,8.17,8.14
STUD0186,7.12,7.24,7.49,7.56,7.62,8.03,8.38,8.54
STUD0187,6.24,6.45,6.58,7.0,7.46,7.2,7.58,8.0
STUD0188,7.96,8.13,8.52,8.78,8.6,8.95,9.21,9.38
STUD0189,6.91,7.08,7.28,7.41,7.73,7.85,8.13,8.52
STUD0190,7.23,7.2,7.68,8.11,8.12,8.01,8.49,8.92
STUD0191,6.06,6.23,6.33,6.52,6.73,6.87,7.46,7.39
STUD0192,6.9,7.53,7.54,7.95,7.99,8.22,8.47,8.51
STUD0193,6.24,6.56,6.78,6.92,7.26,7.31,7.73,7.61
STUD0194,6.94,7.47,7.82,7.68,8.2,8.41,8.34,8.86
STUD0195,7.87,8.27,8.18,8.26,8.79,8.82,8.73,9.4
STUD0196,7.91,8.01,8.34,8.65,8.73,9.13,9.26,9.49
STUD0197,7.37,7.89,7.86,8.28,8.42,8.86,8.76,8.96
STUD0198,5.25,5.7,5.72,6.29,6.55,6.47,6.88,7.17
STUD0199,6.97,7.17,7.42,7.8,7.7,8.09,8.42,8.56
STUD0200,7.8,8.31,7.85,8.24,8.78,8.72,9.12,9.23
STUD0201,6.85,7.02,7.28,7.36,7.48,7.44,7.86,7.98
STUD0202,6.78,6.95,7.37,7.45,7.92,7.81,7.99,8.19
STUD0203,6.31,6.61,6.77,6.94,7.05,7.46,7.46,8.02
STUD0204,5.99,6.23,6.61,6.57,6.95,7.5,7.36,7.49
STUD0205,6.52,6.59,6.87,7.02,7.51,7.57,8.06,7.98
STUD0206,7.92,8.1,8.2,8.35,8.96,9.03,9.38,9.71
STUD0207,6.2,6.51,6.94,7.05,7.09,7.21,7.24,7.67
STUD0208,6.03,5.94,6.31,6.42,6.84,7.05,7.26,7.04
STUD0209,5.63,5.77,6.1,6.21,6.29,6.65,6.64,7.04
STUD0210,5.27,5.65,6.36,6.1,6.09,6.71,6.94,7.22
STUD0211,7.52,8.09,7.86,8.39,8.62,8.58,9.11,9.08
STUD0212,7.28,7.67,7.71,8.37,8.65,8.74,8.69,9.28
STUD0213,5.75,6.1,6.3,6.68,6.97,7.2,7.12,7.39
STUD0214,6.69,6.56,6.71,7.36,7.66,7.53,7.8,7.85
STUD0215,5.65,5.78,5.93,6.2,6.41,6.58,6.82,7.31
STUD0216,6.21,6.47,6.69,7.0,6.85,7.07,7.59,7.42
STUD0217,6.15,6.43,6.41,6.6,6.47,6.88,7.05,7.29
STUD0218,5.45,5.73,6.08,6.36,6.65,6.44,6.9,6.98
STUD0219,6.69,7.24,7.66,8.0,7.74,8.21,8.28,8.55
STUD0220,6.46,6.94,7.16,7.6,7.49,7.8,7.87,8.32
STUD0221,7.75,7.9,8.29,8.33,8.28,8.95,8.84,9.09
STUD0222,7.44,7.26,8.24,8.01,8.44,8.43,8.75,9.13
STUD0223,7.86,8.08,8.29,8.7,8.84,8.52,9.27,9.42
STUD0224,5.84,5.73,6.12,6.36,6.34,6.51,7.01,6.97
STUD0225,6.34,6.49,6.73,6.92,6.96,7.33,7.6,7.81
STUD0226,7.23,7.43,7.46,7.82,7.88,8.21,8.19,8.4
STUD0227,5.55,5.83,5.81,6.34,6.52,6.61,7.05,7.31
STUD0228,5.6,5.73,5.9,6.15,6.61,6.6,6.89,7.23
STUD0229,7.73,7.68,8.29,8.22,8.63,8.88,9.26,9.07
STUD0230,5.81,6.17,6.56,6.26,6.57,6.91,6.93,7.42
STUD0231,7.36,7.57,7.87,8.34,8.2,8.28,8.57,8.52
STUD0232,6.26,6.28,6.55,6.86,7.21,7.13,7.37,7.88
STUD0233,5.55,5.85,6.11,6.53,6.65,6.86,7.17,7.23
STUD0234,6.43,6.95,7.11,6.89,7.38,7.39,7.76,7.95
STUD0235,7.42,7.65,7.74,8.0,8.35,8.65,8.67,8.84
STUD0236,7.47,8.11,8.1,8.5,8.54,8.75,9.36,9.34
STUD0237,7.72,7.67,8.21,8.26,8.58,8.54,8.68,9.25
STUD0238,6.03,6.18,6.43,6.28,6.93,6.8,7.16,7.32
STUD0239,6.14,6.41,6.65,6.71,7.19,7.21,7.47,7.57
STUD0240,6.85,6.58,7.15,7.38,7.67,7.8,8.32,8.26
STUD0241,6.39,6.6,6.77,6.93,7.24,7.44,7.51,7.69
STUD0242,5.69,5.65,5.65,6.23,6.55,6.41,6.93,7.15
STUD0243,6.4,6.74,7.06,7.04,7.48,7.97,7.93,8.18
STUD0244,7.88,8.02,8.24,8.46,8.81,8.83,9.25,9.62
STUD0245,5.94,6.25,6.53,6.36,6.6,6.75,7.12,7.44
STUD0246,6.72,6.98,6.94,7.29,7.54,7.83,7.96,7.93
STUD0247,7.17,7.36,7.6,8.05,7.72,8.5,8.27,8.66
STUD0248,5.69,5.89,6.06,6.32,6.42,6.45,6.8,7.15
STUD0249,7.12,7.27,7.39,7.77,8.18,8.1,8.45,8.36
STUD0250,7.2,7.2,7.59,8.04,8.12,8.21,8.55,8.48
STUD0251,6.19,6.2,6.41,6.74,6.85,7.12,7.66,7.52
STUD0252,5.68,5.78,6.02,6.2,6.69,6.89,7.1,7.38
STUD0253,6.29,6.73,6.53,7.17,7.07,7.57,7.68,7.75
STUD0254,6.08,6.24,6.25,6.99,6.99,7.52,7.22,7.7
STUD0255,6.35,6.74,6.79,7.25,7.02,7.45,7.48,7.94
STUD0256,6.27,6.61,6.76,7.08,7.38,7.35,7.54,7.97
STUD0257,7.34,7.63,7.4,7.92,8.02,8.29,8.57,8.66
STUD0258,5.6,5.33,5.82,5.99,6.2,6.46,6.97,7.12
STUD0259,7.36,7.73,8.23,8.12,8.41,8.76,9.02,9.08
STUD0260,7.74,7.47,7.86,8.19,8.64,8.65,8.87,8.93
STUD0261,7.06,6.95,7.55,7.45,7.76,8.07,8.54,8.93
STUD0262,6.59,6.79,6.97,7.05,7.44,7.63,7.65,8.02
STUD0263,7.43,7.57,8.01,8.28,8.44,8.84,8.8,9.12
STUD0264,6.52,6.59,6.77,7.31,7.3,7.59,7.85,7.8
STUD0265,7.62,7.76,7.97,8.09,8.5,8.68,8.9,8.96
STUD0266,6.73,7.05,7.14,7.37,7.8,8.07,8.07,8.5
STUD0267,7.24,7.32,7.44,7.73,7.65,8.19,8.19,8.36
STUD0268,7.24,7.14,7.38,7.67,7.8,8.26,8.61,8.45
STUD0269,6.31,6.46,6.78,7.05,7.36,7.62,7.56,7.63
STUD0270,7.33,7.51,7.73,7.77,8.04,8.46,8.89,8.79
STUD0271,6.98,7.34,7.47,7.81,8.11,8.12,8.41,8.61
STUD0272,7.16,7.42,7.56,7.81,8.03,8.09,8.65,8.83
STUD0273,6.29,6.21,6.72,7.04,6.86,7.1,7.61,7.71
STUD0274,7.83,8.12,8.55,8.62,8.59,9.19,9.16,9.33
STUD0275,6.22,6.34,6.73,6.73,7.07,7.05,7.41,7.61
STUD0276,5.78,5.97,5.92,6.31,6.84,6.73,7.02,7.22
STUD0277,6.84,7.35,7.39,7.72,7.93,8.07,8.2,8.43
STUD0278,6.43,6.35,6.85,6.97,7.1,7.32,7.25,7.71
STUD0279,7.17,7.39,7.36,7.69,8.0,8.08,8.49,8.9
STUD0280,6.29,6.35,6.77,6.91,7.35,7.13,7.58,7.52
STUD0281,6.87,6.67,6.92,7.34,7.37,7.63,7.86,7.78
STUD0282,5.76,5.85,6.11,6.23,6.76,6.56,6.82,7.07
STUD0283,6.02,6.17,6.42,6.69,6.71,6.88,7.02,7.28
STUD0284,6.47,7.08,7.37,7.36,7.54,8.01,7.9,8.08
STUD0285,6.73,6.85,7.22,7.85,7.68,7.79,8.19,8.34
STUD0286,7.59,8.1,7.91,8.34,8.36,8.8,8.78,9.26
STUD0287,5.94,6.15,6.04,6.44,6.54,6.68,7.05,7.25
STUD0288,6.59,7.1,7.2,7.35,7.54,7.76,8.1,8.36
STUD0289,6.65,6.82,7.6,7.59,7.62,8.04,7.78,8.39
STUD0290,7.76,8.22,8.14,8.18,8.48,8.63,9.03,9.06
STUD0291,6.14,6.19,6.45,6.44,6.83,7.08,7.69,7.35
STUD0292,6.91,7.41,7.69,7.73,7.98,8.19,8.04,8.54
STUD0293,7.28,7.66,7.79,8.11,8.52,8.48,8.76,8.99
STUD0294,5.63,6.02,6.17,6.32,6.55,6.65,6.92,7.07
STUD0295,7.23,7.82,7.84,7.97,8.27,8.55,8.7,8.68
STUD0296,7.5,7.67,7.7,8.27,8.2,8.61,8.8,8.87
STUD0297,7.39,7.81,7.87,7.89,8.45,8.56,8.6,8.81
STUD0298,7.78,7.97,8.24,8.59,8.7,8.84,9.29,9.39
STUD0299,6.16,6.07,6.19,6.44,6.58,6.84,7.12,7.18
STUD0300,7.56,7.99,8.23,8.34,8.8,8.78,9.22,9.36
STUD0301,6.02,6.53,6.63,6.91,6.86,7.12,7.56,7.54
STUD0302,5.82,6.35,6.63,6.77,7.01,7.23,7.19,7.76
STUD0303,6.63,6.56,7.02,7.18,7.54,7.61,7.82,8.19
STUD0304,7.68,8.06,8.07,8.41,8.78,8.7,9.09,9.3
STUD0305,7.84,8.17,8.42,8.62,8.9,9.28,9.44,9.3
STUD0306,6.28,6.39,6.67,7.03,7.08,7.2,7.61,7.84
STUD0307,7.92,8.43,8.28,8.85,8.91,8.84,9.32,9.16
STUD0308,6.2,6.33,6.56,6.91,6.88,7.0,7.49,7.7
STUD0309,6.73,6.65,7.01,7.28,7.18,7.43,7.9,8.19
STUD0310,5.89,6.44,6.52,6.66,6.88,7.22,7.36,7.52
STUD0311,7.51,7.81,7.56,8.11,8.4,8.41,8.85,8.98
STUD0312,6.7,7.34,7.27,7.58,7.95,8.07,8.29,8.58
STUD0313,6.12,6.12,6.59,6.58,6.92,7.22,7.31,7.6
STUD0314,7.59,7.76,8.1,8.31,8.38,8.66,8.81,9.01
STUD0315,6.6,6.84,7.06,7.28,7.52,7.82,8.09,8.08
STUD0316,6.16,6.42,6.69,6.87,7.38,7.22,7.54,7.87
STUD0317,6.35,6.44,6.87,6.73,7.16,7.47,7.67,8.26
STUD0318,5.65,6.19,6.16,6.5,6.43,6.87,6.97,7.01
STUD0319,7.59,7.65,7.81,8.01,8.23,8.09,8.56,8.94
STUD0320,6.24,6.19,5.92,6.41,6.78,7.21,7.23,7.65
STUD0321,6.56,6.49,6.71,6.92,7.46,7.64,7.94,7.8
STUD0322,5.76,6.42,6.37,6.78,6.74,7.19,7.22,7.47
STUD0323,5.87,6.3,6.22,6.63,7.0,6.95,7.14,7.42
STUD0324,6.95,7.18,7.4,7.39,7.65,7.86,8.12,8.47
STUD0325,6.24,6.56,6.49,6.87,6.7,7.14,7.44,7.52
STUD0326,7.7,7.91,8.22,8.58,8.9,8.84,9.08,9.12
STUD0327,6.5,7.0,6.95,7.28,7.45,7.33,7.98,8.11
STUD0328,6.68,6.99,7.21,7.34,7.81,7.81,7.83,8.23
STUD0329,5.54,5.89,5.83,6.38,6.42,6.53,6.84,7.31
STUD0330,7.43,7.52,7.92,7.85,8.35,8.47,8.57,8.85
STUD0331,5.56,5.96,5.87,6.3,6.38,6.61,6.85,7.09
STUD0332,7.94,7.83,8.09,8.65,8.74,8.98,8.97,9.19
STUD0333,8.04,8.34,8.25,8.52,8.52,8.92,9.34,9.34
STUD0334,7.77,7.88,8.1,8.53,8.69,8.98,8.88,9.34
STUD0335,6.86,7.01,7.18,7.55,7.39,8.01,8.1,8.14
STUD0336,7.7,8.04,8.0,8.52,8.52,8.74,8.9,8.96
STUD0337,7.63,7.71,7.73,8.26,8.15,8.64,8.66,9.38
STUD0338,5.93,5.97,6.3,6.66,6.9,7.17,7.48,7.53
STUD0339,7.5,7.82,8.16,8.4,8.43,9.18,9.26,9.34
STUD0340,5.64,6.11,5.75,6.31,6.43,6.72,6.8,7.06
STUD0341,5.57,6.13,6.14,6.07,6.56,6.47,7.08,7.06
STUD0342,7.23,7.72,8.15,8.12,8.25,8.53,8.83,8.92
STUD0343,6.64,7.0,7.31,7.28,7.5,7.95,7.71,8.15
STUD0344,7.88,8.34,8.26,8.4,8.52,8.86,9.14,9.34
STUD0345,6.85,7.15,7.19,7.52,7.85,8.0,8.1,8.44
STUD0346,6.06,6.77,6.88,7.09,7.01,7.67,7.6,7.84
STUD0347,6.65,6.47,6.73,7.06,7.06,7.4,7.72,7.84
STUD0348,5.42,5.78,6.06,6.4,6.46,6.44,6.94,7.07
STUD0349,7.87,8.15,8.07,8.73,8.72,9.15,9.01,9.61
STUD0350,7.28,7.58,7.78,8.16,8.15,8.57,8.72,8.8
STUD0351,6.12,6.53,6.26,6.79,6.71,7.31,7.4,7.69
STUD0352,7.52,7.36,7.95,7.89,8.19,8.34,8.8,8.98
STUD0353,5.61,6.1,6.3,6.16,6.48,6.83,7.04,7.12
STUD0354,7.27,7.57,7.65,8.09,8.19,8.39,8.59,8.88
STUD0355,5.31,6.01,6.04,6.18,6.44,6.66,6.62,7.32
STUD0356,7.67,8.2,8.21,8.72,8.76,9.12,9.13,9.44
STUD0357,6.63,6.85,6.89,7.1,7.41,7.5,7.98,8.01
STUD0358,5.81,5.81,6.14,6.25,6.28,6.68,7.1,6.85
STUD0359,6.1,6.16,6.24,6.61,6.69,6.87,7.02,7.14
STUD0360,7.43,7.28,7.71,7.67,8.13,8.22,8.44,8.79
STUD0361,5.85,6.21,6.65,6.8,7.08,7.22,7.2,7.53
STUD0362,7.56,7.39,7.72,7.96,8.29,8.58,8.79,8.88
STUD0363,6.57,6.35,6.42,6.58,7.19,7.01,7.45,7.79
