Gender,Branch,Average GPA,Backlogs,Attendance (%),Skills,Certifications,Internship Domain,Job Role,Company Tier,English Proficiency Score,Hackathons Participated,Interview Performance (1-10),Soft Skills Rating (1-10),Offer Type,CTC (LPA)
Female,EEE,6.49,2,83.73,"HTML, ML, AWS, DL",None,Web Dev,DevOps Engineer,Tier 1,7.8,5,9.5,4.8,On-campus,34.72
Male,CSE,5.96,2,81.54,"C++, ML, Python, CSS",Google Cloud,Cybersecurity,QA Engineer,Tier 3,6.5,2,7.2,4.2,PPO,24.68
Male,CIVIL,7.81,0,76.25,"Java, ML",Coursera ML,Cloud,DevOps Engineer,Tier 3,6.3,1,4.8,9.6,PPO,25.63
Male,CSE,7.15,0,85.15,"Java, AWS, SQL",Google Cloud,Web Dev,DevOps Engineer,Tier 3,6.8,4,7.4,4.9,Off-campus,22.06
Male,ECE,6.79,1,70.55,"ML, SQL",AWS Certified,AI/ML,Data Scientist,Tier 1,6.8,0,4.5,8.9,Off-campus,37.94
Male,CSE,8.0,1,80.2,"DSA, HTML, Java, CSS",Google Cloud,Web Dev,QA Engineer,Tier 3,9.6,2,5.2,8.9,Off-campus,28.04
Female,EEE,7.67,3,78.51,"HTML, CSS",DataCamp DS,AI/ML,QA Engineer,Tier 2,9.1,1,4.2,8.3,PPO,28.19
Female,CSE,7.11,2,83.32,"DSA, ML, AWS, DL",Coursera ML,IoT,Business Analyst,Tier 1,5.8,5,7.1,4.8,PPO,39.32
Female,CIVIL,6.6,1,83.51,"ML, Java, AWS",Google Cloud,Cybersecurity,Data Scientist,Tier 3,5.6,2,4.5,8.0,On-campus,19.9
Female,IT,8.11,0,91.72,"C++, DL, SQL",Coursera ML,Web Dev,QA Engineer,Tier 3,7.4,3,6.8,9.3,PPO,27.17
Female,MECH,7.96,1,96.08,"DSA, SQL, DL",AWS Certified,Cybersecurity,Data Scientist,Tier 1,9.4,0,9.6,6.6,PPO,37.16
Male,CSE,7.43,2,77.18,"DL, AWS, ML",DataCamp DS,Web Dev,Data Scientist,Tier 1,8.2,4,8.3,6.5,On-campus,43.8
Female,CIVIL,8.79,1,98.95,"Python, CSS, SQL, DSA",None,AI/ML,Data Scientist,Tier 2,7.5,3,4.5,6.7,PPO,30.4
Female,CIVIL,6.75,1,79.54,"DSA, AWS, Java, C++",Google Cloud,AI/ML,SDE,Tier 1,7.0,2,5.3,4.5,On-campus,34.19
Male,IT,6.43,1,86.21,"HTML, CSS",AWS Certified,Web Dev,QA Engineer,Tier 3,8.6,1,8.0,9.4,On-campus,31.14
Female,EEE,7.02,1,88.58,"AWS, CSS, DSA",Coursera ML,IoT,Data Scientist,Tier 2,7.7,0,9.4,9.2,Off-campus,38.28
Male,CIVIL,7.47,2,100.0,"CSS, ML",Coursera ML,AI/ML,SDE,Tier 3,9.2,5,4.2,10.0,PPO,27.37
Female,CIVIL,7.67,0,81.2,"CSS, SQL, AWS, DL",AWS Certified,Data Analytics,SDE,Tier 3,5.8,4,8.9,7.5,Off-campus,31.5
Male,CIVIL,7.33,0,72.42,"Python, C++, SQL, DSA",Google Cloud,Data Analytics,DevOps Engineer,Tier 3,7.9,1,7.4,8.5,PPO,29.39
Female,CIVIL,7.75,1,95.43,"SQL, CSS, AWS, Python",None,Cybersecurity,DevOps Engineer,Tier 1,6.9,4,7.3,5.2,Off-campus,36.21
Female,ECE,6.62,0,79.17,"CSS, DSA",Google Cloud,Data Analytics,QA Engineer,Tier 1,7.9,5,9.7,8.0,On-campus,43.03
Male,ECE,8.51,1,82.47,"AWS, CSS",DataCamp DS,Data Analytics,DevOps Engineer,Tier 3,7.8,0,8.5,7.9,On-campus,31.2
Male,EEE,7.44,3,77.18,"SQL, DSA, Python",Google Cloud,IoT,QA Engineer,Tier 1,8.0,2,9.1,9.4,On-campus,42.97
Male,CSE,8.28,0,82.49,"HTML, ML, DL",DataCamp DS,IoT,SDE,Tier 3,8.5,4,6.1,9.0,On-campus,26.23
Male,CIVIL,7.74,3,79.12,"Python, SQL",Coursera ML,Cloud,SDE,Tier 1,8.9,0,7.3,9.6,PPO,37.41
Male,IT,7.82,2,89.74,"Java, AWS, ML",DataCamp DS,Cloud,QA Engineer,Tier 1,9.5,4,7.7,9.2,PPO,44.07
Male,CSE,7.9,2,85.57,"DL, C++, Python, HTML",None,IoT,DevOps Engineer,Tier 1,7.5,1,5.9,9.2,Off-campus,36.93
Male,IT,7.81,0,80.23,"Java, AWS",AWS Certified,Cloud,DevOps Engineer,Tier 2,7.0,4,7.4,4.4,PPO,33.25
Male,CSE,7.95,1,91.97,"SQL, DSA",DataCamp DS,IoT,QA Engineer,Tier 1,6.3,1,5.4,9.1,PPO,34.08
Female,EEE,8.43,0,86.78,"DSA, C++",Google Cloud,Cloud,Business Analyst,Tier 2,7.9,1,4.9,7.6,Off-campus,27.4
Female,CIVIL,7.64,0,72.08,"DL, C++, CSS",DataCamp DS,AI/ML,DevOps Engineer,Tier 2,8.3,0,6.2,6.3,On-campus,29.16
Male,CIVIL,8.0,0,91.44,"ML, Python, HTML",Coursera ML,IoT,Data Scientist,Tier 2,6.2,3,8.4,4.3,Off-campus,32.54
Female,MECH,7.44,0,86.29,"C++, SQL, HTML, CSS",DataCamp DS,Cybersecurity,DevOps Engineer,Tier 3,8.6,5,9.5,8.1,Off-campus,32.25
Female,IT,8.51,0,94.74,"DSA, CSS, DL, C++",None,Cybersecurity,Business Analyst,Tier 1,7.4,4,6.7,6.0,On-campus,40.25
Female,CSE,7.03,2,85.87,"ML, AWS, SQL, CSS",DataCamp DS,IoT,SDE,Tier 3,6.2,2,7.9,6.8,Off-campus,28.56
Female,CSE,8.76,2,79.46,"AWS, DSA, Java, Python",None,Data Analytics,SDE,Tier 2,6.7,1,4.6,8.1,Off-campus,33.63
Male,ECE,7.47,0,83.57,"C++, DSA",Google Cloud,Cybersecurity,SDE,Tier 1,6.6,3,9.4,9.5,Off-campus,43.83
Female,MECH,6.5,1,90.63,"HTML, Python, CSS, AWS",Coursera ML,Data Analytics,DevOps Engineer,Tier 3,6.6,1,7.4,9.0,PPO,23.76
Male,ECE,7.59,1,79.6,"DL, SQL, ML, DSA",AWS Certified,Cybersecurity,SDE,Tier 2,8.1,3,8.7,6.7,On-campus,37.79
Female,ECE,7.02,0,81.92,"DL, SQL, Python",Google Cloud,Web Dev,Business Analyst,Tier 3,8.4,3,8.8,6.3,On-campus,27.36
Female,ECE,8.09,0,83.45,"SQL, CSS",Google Cloud,Web Dev,Business Analyst,Tier 3,9.2,2,5.5,5.4,Off-campus,25.82
Female,IT,7.04,0,76.95,"DSA, DL",AWS Certified,IoT,DevOps Engineer,Tier 1,6.8,3,7.2,6.2,PPO,35.73
Male,IT,7.19,0,79.71,"Python, CSS, ML, DL",DataCamp DS,Cybersecurity,Data Scientist,Tier 1,7.8,2,9.8,4.7,On-campus,44.59
Female,EEE,6.18,0,86.21,"SQL, Java, Python, DL",DataCamp DS,AI/ML,DevOps Engineer,Tier 3,6.9,0,4.5,9.8,On-campus,27.34
Male,EEE,7.18,2,93.42,"Java, CSS, HTML, SQL",DataCamp DS,Data Analytics,SDE,Tier 1,7.5,1,8.1,7.4,Off-campus,37.74
Female,ECE,5.8,1,87.22,"SQL, DSA, ML, CSS",Coursera ML,Cybersecurity,DevOps Engineer,Tier 1,6.0,2,9.8,4.8,Off-campus,38.71
Male,MECH,6.39,1,84.68,"Java, Python",Google Cloud,IoT,Business Analyst,Tier 3,6.4,5,5.8,6.1,Off-campus,25.71
Female,CSE,8.03,2,79.18,"CSS, C++, DL",None,Data Analytics,DevOps Engineer,Tier 1,8.3,1,9.2,7.3,On-campus,43.27
Male,IT,8.05,0,92.67,"Java, DL, HTML, SQL",AWS Certified,Cloud,DevOps Engineer,Tier 1,6.0,5,9.6,7.2,Off-campus,42.42
Male,MECH,7.8,1,88.03,"SQL, DSA, AWS, CSS",Google Cloud,IoT,Data Scientist,Tier 2,8.1,4,8.5,4.2,Off-campus,31.98
Female,CIVIL,6.82,1,80.05,"DSA, C++",DataCamp DS,Cybersecurity,Business Analyst,Tier 1,6.8,5,5.4,9.7,Off-campus,36.08
Male,IT,7.47,1,91.29,"C++, ML",AWS Certified,AI/ML,QA Engineer,Tier 2,5.6,0,6.0,5.7,PPO,28.96
Female,IT,7.5,1,88.92,"C++, DL, HTML",None,Cloud,QA Engineer,Tier 3,5.0,4,4.2,4.1,Off-campus,23.59
Female,EEE,6.69,1,79.31,"Python, CSS, AWS",Google Cloud,IoT,Business Analyst,Tier 2,9.0,4,9.0,4.5,On-campus,35.65
Female,CSE,8.55,3,84.29,"Java, C++",Google Cloud,Cybersecurity,QA Engineer,Tier 3,5.6,3,9.1,7.5,Off-campus,29.77
Female,CSE,8.11,1,81.55,"DSA, CSS, C++, AWS",Coursera ML,Web Dev,SDE,Tier 1,7.4,5,7.8,4.8,On-campus,39.87
Female,CIVIL,7.35,1,100.0,"SQL, ML, HTML, C++",Google Cloud,Cybersecurity,QA Engineer,Tier 1,7.9,3,6.1,4.3,PPO,34.12
Female,CIVIL,7.52,1,88.72,"ML, Java",Google Cloud,Web Dev,SDE,Tier 2,6.2,5,4.5,6.3,PPO,30.68
Female,IT,7.65,0,86.31,"DL, HTML",None,Web Dev,Business Analyst,Tier 3,6.9,4,8.5,7.7,Off-campus,35.98
Female,ECE,6.07,1,88.31,"DL, ML, CSS, HTML",None,IoT,QA Engineer,Tier 1,8.0,3,8.4,4.7,On-campus,37.31
Female,EEE,7.33,1,94.65,"ML, Java, DSA",AWS Certified,Cybersecurity,QA Engineer,Tier 2,7.8,1,9.5,5.9,Off-campus,37.07
Female,EEE,7.02,0,84.42,"Java, DSA",DataCamp DS,Cybersecurity,SDE,Tier 2,7.0,5,8.4,6.5,Off-campus,33.47
Female,IT,6.8,1,80.87,"ML, Python, SQL",None,Web Dev,SDE,Tier 2,7.7,5,9.0,5.0,On-campus,34.76
Male,MECH,7.3,0,90.91,"DSA, HTML",AWS Certified,Data Analytics,DevOps Engineer,Tier 1,7.4,3,8.5,7.0,On-campus,40.22
Male,ECE,8.76,1,83.78,"CSS, AWS",Google Cloud,Cloud,Data Scientist,Tier 3,6.5,5,7.8,4.5,On-campus,27.94
Female,IT,7.95,1,77.51,"Java, Python, DSA",AWS Certified,AI/ML,QA Engineer,Tier 1,8.7,4,6.6,4.3,On-campus,41.49
Female,ECE,7.1,0,76.15,"Java, CSS, ML, HTML",AWS Certified,Cybersecurity,Data Scientist,Tier 1,7.7,3,9.4,7.1,On-campus,40.99
Female,ECE,7.9,1,95.71,"Python, CSS",AWS Certified,Cloud,Data Scientist,Tier 3,5.7,3,7.9,5.5,PPO,29.0
Female,ECE,8.48,0,85.92,"SQL, Python, HTML",AWS Certified,Cloud,QA Engineer,Tier 2,8.0,2,6.4,4.6,PPO,27.0
Female,IT,8.15,0,80.87,"CSS, SQL",None,Data Analytics,SDE,Tier 1,6.9,2,4.5,6.5,PPO,34.6
Female,EEE,7.54,0,83.36,"Java, AWS, Python, HTML",DataCamp DS,Cloud,DevOps Engineer,Tier 2,7.2,4,5.7,9.5,On-campus,35.33
Female,EEE,7.05,1,90.65,"CSS, Python, Java",AWS Certified,Cybersecurity,Business Analyst,Tier 2,7.5,1,7.3,8.3,On-campus,32.53
Female,ECE,7.99,2,82.95,"Java, CSS",Coursera ML,IoT,QA Engineer,Tier 3,6.7,5,5.7,8.9,On-campus,22.93
Male,MECH,7.78,1,74.85,"ML, HTML",Google Cloud,IoT,QA Engineer,Tier 3,9.3,0,5.3,9.2,Off-campus,26.92
Female,CSE,8.13,1,87.28,"HTML, Python, CSS",Google Cloud,Cloud,Business Analyst,Tier 3,6.0,5,7.2,9.8,PPO,30.66
Male,IT,7.94,1,93.46,"C++, ML, CSS, Java",Google Cloud,Cybersecurity,Data Scientist,Tier 2,7.6,0,5.0,8.6,PPO,31.98
Female,CSE,8.23,0,92.99,"DSA, ML, Python",Google Cloud,Cybersecurity,DevOps Engineer,Tier 2,7.9,4,8.8,7.7,Off-campus,41.09
Female,MECH,7.13,1,81.08,"SQL, DL, ML",Google Cloud,Web Dev,Data Scientist,Tier 1,7.5,1,6.9,6.2,Off-campus,35.79
Male,IT,8.42,0,93.88,"SQL, HTML, Python, CSS",AWS Certified,Data Analytics,Business Analyst,Tier 2,7.3,1,7.4,5.1,PPO,30.39
Female,ECE,7.64,0,86.49,"AWS, DSA, C++, Python",DataCamp DS,AI/ML,Business Analyst,Tier 3,7.1,1,4.9,8.1,On-campus,22.65
Male,EEE,8.95,3,93.69,"C++, SQL",Coursera ML,Web Dev,DevOps Engineer,Tier 3,6.7,2,5.9,10.0,PPO,29.0
Female,CSE,7.02,2,89.02,"Python, C++, CSS, Java",None,AI/ML,Business Analyst,Tier 3,6.7,4,6.5,6.8,On-campus,27.86
Female,CIVIL,8.72,0,74.35,"CSS, Python, AWS",Coursera ML,Cybersecurity,Business Analyst,Tier 3,8.7,0,8.8,8.3,PPO,30.76
Male,CIVIL,7.64,2,97.23,"Java, Python, DSA",None,IoT,DevOps Engineer,Tier 2,7.1,1,8.6,7.0,PPO,36.32
Female,MECH,7.04,0,85.36,"ML, DL",None,Web Dev,QA Engineer,Tier 3,9.6,4,5.3,6.6,Off-campus,27.06
Male,ECE,7.16,2,89.04,"Java, ML",Coursera ML,Cloud,Data Scientist,Tier 1,8.2,5,7.7,6.5,Off-campus,39.55
Female,CSE,7.28,1,75.59,"Python, Java, DL, DSA",AWS Certified,Cloud,QA Engineer,Tier 2,4.8,0,5.5,7.0,On-campus,26.91
Male,ECE,7.8,0,88.54,"DSA, SQL",Google Cloud,AI/ML,QA Engineer,Tier 3,8.4,2,9.9,6.2,On-campus,31.09
Male,CSE,7.87,0,92.72,"Python, HTML, Java",AWS Certified,Cybersecurity,Data Scientist,Tier 1,7.4,3,9.7,8.5,PPO,38.44
Female,MECH,7.1,0,98.55,"DL, C++",Google Cloud,IoT,QA Engineer,Tier 3,6.1,0,7.4,9.2,Off-campus,29.0
Female,MECH,7.48,1,94.8,"ML, Java, DL",DataCamp DS,AI/ML,DevOps Engineer,Tier 2,8.8,5,8.2,9.3,On-campus,37.62
Male,CIVIL,9.0,2,88.88,"DL, ML",None,IoT,Data Scientist,Tier 2,7.1,0,8.8,5.4,On-campus,34.7
Female,ECE,8.71,1,74.19,"CSS, HTML, AWS",Coursera ML,Data Analytics,SDE,Tier 1,7.0,0,8.3,9.4,On-campus,42.19
Female,IT,7.81,1,85.93,"SQL, HTML, Python",DataCamp DS,IoT,QA Engineer,Tier 2,7.9,3,8.2,6.0,PPO,35.24
Female,CIVIL,7.53,1,80.85,"Python, CSS, DSA",Google Cloud,Cloud,Business Analyst,Tier 1,8.6,1,9.8,5.9,On-campus,41.11
Male,ECE,7.58,0,86.64,"C++, Java, AWS, HTML",AWS Certified,Web Dev,Data Scientist,Tier 3,7.6,5,7.6,8.4,On-campus,30.71
Male,CIVIL,7.93,0,76.49,"DSA, AWS",Coursera ML,Web Dev,SDE,Tier 2,7.5,3,7.8,5.8,Off-campus,30.82
Male,IT,6.78,2,83.53,"ML, DSA",None,Web Dev,Business Analyst,Tier 3,6.8,0,9.1,4.3,Off-campus,26.6
Male,EEE,7.32,1,81.38,"ML, Java",DataCamp DS,IoT,SDE,Tier 3,8.6,5,8.0,6.2,Off-campus,30.04
Male,EEE,6.33,1,81.16,"ML, C++, Java",None,Cloud,QA Engineer,Tier 2,7.6,2,8.4,8.3,PPO,33.74
Male,EEE,7.78,1,81.23,"Python, Java, AWS, ML",Google Cloud,IoT,Business Analyst,Tier 3,7.3,0,5.4,6.0,Off-campus,25.83
Male,EEE,7.95,0,84.05,"CSS, HTML",None,Cybersecurity,QA Engineer,Tier 1,7.2,2,6.2,7.8,Off-campus,35.9
Male,CSE,7.16,0,87.0,"DL, SQL, C++, DSA",AWS Certified,Cloud,Business Analyst,Tier 1,8.5,4,4.9,8.0,Off-campus,36.56
Male,EEE,8.6,0,67.51,"DL, HTML",DataCamp DS,Cloud,Data Scientist,Tier 1,7.2,2,7.0,8.4,Off-campus,39.39
Female,IT,6.64,1,68.36,"DL, DSA, C++, HTML",DataCamp DS,IoT,DevOps Engineer,Tier 2,8.5,0,6.7,9.4,On-campus,34.84
Male,MECH,6.47,1,82.63,"SQL, Python, DL",AWS Certified,IoT,DevOps Engineer,Tier 3,7.0,3,10.0,6.6,PPO,33.36
Female,MECH,7.66,0,83.62,"SQL, ML",None,Web Dev,SDE,Tier 3,8.2,0,7.7,5.0,On-campus,28.55
Female,CSE,8.23,0,86.32,"ML, HTML",AWS Certified,Cloud,Business Analyst,Tier 3,7.7,0,8.7,5.9,On-campus,25.16
Female,EEE,8.68,0,79.91,"HTML, DL",Coursera ML,Web Dev,QA Engineer,Tier 3,6.5,4,6.0,6.6,PPO,29.15
Male,EEE,7.18,0,85.07,"DL, CSS",AWS Certified,Cybersecurity,Data Scientist,Tier 1,7.4,1,9.0,8.3,On-campus,44.21
Male,EEE,8.26,0,85.89,"DL, C++, AWS",None,Data Analytics,Data Scientist,Tier 2,5.3,0,7.7,4.1,Off-campus,29.71
Male,CIVIL,7.47,1,79.86,"AWS, HTML, ML",AWS Certified,Web Dev,Data Scientist,Tier 1,6.8,4,8.2,5.9,PPO,39.56
Male,ECE,7.38,1,92.09,"AWS, ML",Google Cloud,IoT,DevOps Engineer,Tier 1,5.9,3,5.8,8.7,On-campus,34.96
Female,CIVIL,8.12,0,86.24,"HTML, AWS",AWS Certified,AI/ML,QA Engineer,Tier 2,9.5,4,7.3,8.0,On-campus,31.71
Male,ECE,7.96,1,88.83,"CSS, Python, DSA",AWS Certified,Data Analytics,Data Scientist,Tier 2,5.9,4,7.8,8.4,Off-campus,33.64
Male,EEE,6.4,1,85.48,"CSS, HTML, ML",None,Cybersecurity,Data Scientist,Tier 1,10.1,2,7.5,8.9,On-campus,39.24
Male,EEE,8.53,0,99.73,"Java, SQL, C++",Coursera ML,IoT,SDE,Tier 3,8.0,1,9.5,8.7,On-campus,32.4
Male,CIVIL,8.47,2,89.17,"DL, ML, HTML",Coursera ML,Data Analytics,Business Analyst,Tier 2,7.0,1,9.4,8.1,On-campus,35.19
Male,CIVIL,7.06,1,81.58,"ML, CSS, HTML",None,IoT,Business Analyst,Tier 2,8.3,5,9.8,6.6,PPO,36.2
Female,ECE,7.78,0,90.75,"CSS, AWS",None,Web Dev,Business Analyst,Tier 1,6.9,3,8.0,9.9,PPO,41.46
Male,MECH,7.85,2,73.54,"CSS, Python, DSA",None,IoT,SDE,Tier 3,6.1,5,9.8,7.4,On-campus,31.2
Female,ECE,7.68,0,85.84,"Java, C++",Google Cloud,Cybersecurity,DevOps Engineer,Tier 2,7.6,4,9.0,5.2,On-campus,36.31
Male,CIVIL,7.11,0,87.23,"SQL, DL, C++, AWS",DataCamp DS,AI/ML,SDE,Tier 1,8.2,3,5.6,5.8,Off-campus,36.56
Female,IT,7.03,0,85.92,"Java, DL, DSA, ML",AWS Certified,Web Dev,Data Scientist,Tier 2,8.8,3,6.6,8.2,PPO,38.34
Male,CIVIL,7.48,1,82.66,"HTML, AWS, DL, CSS",None,Web Dev,QA Engineer,Tier 3,8.0,1,5.4,9.5,PPO,29.24
Male,IT,8.32,0,77.91,"ML, AWS",None,Cybersecurity,Data Scientist,Tier 1,7.0,1,4.0,5.1,PPO,32.32
Female,CSE,7.88,0,79.47,"AWS, Java, CSS",None,Cybersecurity,Data Scientist,Tier 1,8.9,1,5.1,4.5,On-campus,32.36
Female,CIVIL,7.24,0,85.71,"SQL, AWS",Coursera ML,Data Analytics,QA Engineer,Tier 3,8.7,0,4.0,9.3,Off-campus,25.2
Female,CSE,8.04,0,77.21,"Python, SQL, DSA, HTML",None,AI/ML,Business Analyst,Tier 1,7.8,4,8.3,9.5,Off-campus,43.09
Male,MECH,5.51,3,97.39,"Java, C++",AWS Certified,IoT,SDE,Tier 3,8.7,3,6.6,5.7,On-campus,25.0
Female,ECE,8.3,3,66.51,"DSA, ML",None,Data Analytics,DevOps Engineer,Tier 1,9.7,4,5.9,6.3,On-campus,39.06
Male,IT,6.28,0,82.74,"AWS, ML",AWS Certified,IoT,Data Scientist,Tier 3,7.0,3,8.6,8.0,Off-campus,27.54
Male,ECE,7.25,0,85.77,"HTML, C++",Google Cloud,IoT,Data Scientist,Tier 2,6.6,3,9.0,6.0,Off-campus,34.38
Female,CSE,6.72,0,88.55,"C++, Java, AWS",DataCamp DS,IoT,DevOps Engineer,Tier 2,6.9,5,9.9,9.3,PPO,40.09
Female,IT,6.59,0,78.59,"DL, C++",Coursera ML,Data Analytics,SDE,Tier 2,6.2,3,7.9,4.6,On-campus,31.17
Male,ECE,8.31,0,92.94,"DSA, Java, CSS",AWS Certified,Web Dev,Data Scientist,Tier 1,8.1,3,6.8,4.2,PPO,36.02
Male,CIVIL,7.17,1,75.24,"HTML, ML, SQL, DSA",Google Cloud,Cybersecurity,DevOps Engineer,Tier 3,5.9,2,5.8,5.3,Off-campus,23.68
Female,EEE,7.74,1,81.04,"ML, SQL, DL",DataCamp DS,Web Dev,Data Scientist,Tier 3,8.8,2,5.3,5.7,PPO,23.26
Female,CSE,7.47,4,89.35,"Java, DL, C++, DSA",DataCamp DS,AI/ML,Business Analyst,Tier 2,6.8,5,5.3,4.7,Off-campus,31.54
Female,ECE,7.83,1,92.28,"DSA, ML",DataCamp DS,Data Analytics,Business Analyst,Tier 2,8.9,0,6.5,4.4,Off-campus,28.27
Male,CSE,7.55,0,75.17,"DSA, C++",AWS Certified,AI/ML,Data Scientist,Tier 2,4.9,1,10.0,8.5,PPO,37.62
Male,CSE,6.6,0,100.0,"DSA, SQL, Python, Java",Google Cloud,Cybersecurity,Data Scientist,Tier 3,7.1,3,4.0,5.0,On-campus,22.37
Male,IT,8.2,0,78.72,"ML, Python, DSA",None,Cybersecurity,Business Analyst,Tier 2,6.2,4,5.2,9.5,PPO,30.33
